#X,C1_BASE1->TM_Torque(abs)
#Time(sec),Torque(N-m)_Real
0.000000E+00,0.136376
3.210000E-04,0.136369
6.420000E-04,0.136369
9.630000E-04,0.136369
1.284000E-03,0.136369
1.605000E-03,0.136369
1.926000E-03,0.136369
2.247000E-03,0.136369
2.568000E-03,0.136369
2.889000E-03,0.136370
3.210000E-03,0.136370
3.531000E-03,0.136370
3.852000E-03,0.136370
4.173000E-03,0.136370
4.494000E-03,0.137942
4.815000E-03,0.136370
5.136000E-03,0.136370
5.457000E-03,0.137942
5.778000E-03,0.136370
6.099000E-03,0.136370
6.420000E-03,0.136370
6.741000E-03,0.136370
7.062000E-03,0.136370
7.383000E-03,0.137943
7.704000E-03,0.136370
8.025000E-03,0.136370
8.346000E-03,0.137943
8.667000E-03,0.136371
8.988000E-03,0.137943
9.309000E-03,0.136371
9.630000E-03,0.136371
9.951000E-03,0.137943
1.027200E-02,0.137943
1.059300E-02,0.136371
1.091400E-02,0.137944
1.123500E-02,0.136371
1.155600E-02,0.137944
1.187700E-02,0.136372
1.219800E-02,0.137944
1.251900E-02,0.137944
1.284000E-02,0.136372
1.316100E-02,0.137945
1.348200E-02,0.137945
1.380300E-02,0.137945
1.412400E-02,0.136373
1.444500E-02,0.136373
1.476600E-02,0.136373
1.508700E-02,0.136373
1.540800E-02,0.136373
1.572900E-02,0.137946
1.605000E-02,0.136374
1.637100E-02,0.136374
1.669200E-02,0.136374
1.701300E-02,0.136374
1.733400E-02,0.137947
1.765500E-02,0.136375
1.797600E-02,0.136375
1.829700E-02,0.136375
1.861800E-02,0.136375
1.893900E-02,0.136375
1.926000E-02,0.137948
1.958100E-02,0.136376
1.990200E-02,0.136376
2.022300E-02,0.136376
2.054400E-02,0.136376
2.086500E-02,0.136377
2.118600E-02,0.137949
2.150700E-02,0.136377
2.182800E-02,0.137949
2.214900E-02,0.137950
2.247000E-02,0.136378
2.279100E-02,0.136378
2.311200E-02,0.136378
2.343300E-02,0.136378
2.375400E-02,0.136379
2.407500E-02,0.136379
2.439600E-02,0.136379
2.471700E-02,0.137951
2.503800E-02,0.136380
2.535900E-02,0.137952
2.568000E-02,0.137952
2.600100E-02,0.136381
2.632200E-02,0.136381
2.664300E-02,0.137953
2.696400E-02,0.136381
2.728500E-02,0.137954
2.760600E-02,0.136382
2.792700E-02,0.137954
2.824800E-02,0.137263
2.856900E-02,2.208661
2.889000E-02,0.136383
2.921100E-02,0.136384
2.953200E-02,0.136384
2.985300E-02,0.136384
3.017400E-02,0.136384
3.049500E-02,0.137956
3.081600E-02,0.136385
3.113700E-02,0.137957
3.145800E-02,0.137957
3.177900E-02,0.135686
3.210000E-02,2.208540
3.242100E-02,0.136387
3.274200E-02,0.136387
3.306300E-02,0.136388
3.338400E-02,0.136388
3.370500E-02,0.136388
3.402600E-02,0.136389
3.434700E-02,0.136389
3.466800E-02,0.137961
3.498900E-02,0.136390
3.531000E-02,0.137270
3.563100E-02,0.137962
3.595200E-02,2.208392
3.627300E-02,0.136391
3.659400E-02,0.136392
